Year,Winner,
2021,Mayo	
2020,Mayo	
2019,Roscommon	
2018,Galway	
2017,Roscommon	
2016,Galway	
2015,Mayo	
2014,Mayo	
2013,Mayo	
2012,Mayo	
2011,Mayo	
2010,Roscommon	
2009,Mayo	
2008,Galway	
2007,Sligo	
2006,Mayo	
2005,Galway	
2004,Mayo	
2003,Galway	
2002,Galway	
2001,Roscommon	
2000,Galway	
1999,Mayo	
1998,Galway	
1997,Mayo	
1996,Mayo	
1995,Galway	
1994,Leitrim	
1993,Mayo	
1992,Mayo	
1991,Roscommon	
1990,Roscommon	
1989,Mayo	
1988,Mayo	
1987,Galway	
1986,Galway	
1985,Mayo	
1984,Galway	
1983,Galway	
1982,Galway	
1981,Mayo	
1980,Roscommon	
1979,Roscommon	
1978,Roscommon	
1977,Roscommon	
1976,Galway	
1975,Sligo	
1974,Galway	
1973,Galway	
1972,Roscommon	
1971,Galway	
1970,Galway	
1969,Mayo	
1968,Galway	
1967,Mayo	
1966,Galway	
1965,Galway	
1964,Galway	
1963,Galway	
1962,Roscommon	
1961,Roscommon	
1960,Galway	
1959,Galway	
1958,Galway	
1957,Galway	
1956,Galway	
1955,Mayo	
1954,Galway	
1953,Roscommon	
1952,Roscommon	
1951,Mayo	
1950,Mayo	
1949,Mayo	
1948,Mayo	
1947,Roscommon	
1946,Roscommon	
1945,Galway	
1944,Roscommon	
1943,Roscommon	
1942,Galway	
1941,Galway	
1940,Galway	
1939,Mayo	
1938,Galway	
1937,Mayo	
1936,Mayo	
1935,Mayo	
1934,Galway	
1933,Galway	
1932,Mayo	
1931,Mayo	
1930,Mayo	
1929,Mayo	
1928,Sligo	
1927,Leitrim	
1926,Galway	
1925,Galway	
1924,Mayo	
1923,Mayo	
1922,Galway	
1921,Mayo	
1920,Mayo	
1919,Galway	
1918,Mayo	
1917,Galway	
1916,Mayo	
1915,Mayo	
1914,Roscommon	
1913,Galway	
1912,Roscommon	
1911,Galway	
1910,Mayo	
1909,Mayo	
1908,Mayo	
1907,Mayo	
1906,Mayo	
1905,Roscommon	
1904,Mayo	
1903,Roscommon	
1902,Galway	
1901,Mayo	
1900,Galway	
