,code,title,pointsR1,pointsR2,LEVEL
0,AC120,International Business,209,,8
1,AC137,Liberal Arts,252,,8
2,AD101,"First Year Art & Design (Common Entry,portfolio)",#+matric,,8
3,AD102,Graphic Design and Moving Image Design (portfolio),#+matric,,8
4,AD103,Textile & Surface Design and Jewellery & Objects (portfolio),#+matric,,8
5,AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",#+matric,,8
6,AD204,Fine Art (portfolio),#+matric,,8
7,AD211,Fashion Design (portfolio),#+matric,,8
8,AD212,Product Design (portfolio),#+matric,,8
9,AD215,Visual Culture,377,320,8
10,AD217,Illustration (portfolio),#+matric,,8
11,AD222,Interaction Design (portfolio),#+matric,,8
45,AL801,Software Design with Virtual Reality and Gaming,303,,8
46,AL802,Software Design with Artificial Intelligence for Cloud Computing,332,,8
47,AL803,Software Design with Mobile Apps and Connected Devices,337,,8
48,AL805,Computer Engineering with Network Infrastructure,333,,8
49,AL810,Quantity Surveying,319,,8
50,AL811,Civil Engineering,320,,8
51,AL820,Mechanical and Polymer Engineering,308,,8
52,AL830,General Nursing,442,,8
53,AL832,Psychiatric Nursing,387,384,8
54,AL836,Nutrition and Health Science,334,,8
55,AL837,Sports Science with Exercise Physiology,351,,8
56,AL838,Biotechnology,307,,8
57,AL839,Microbiology,325,,8
58,AL840,Pharmaceutical Sciences,347,,8
59,AL841,Athletic and Rehabilitation Therapy,430,,8
60,AL842,Bioveterinary Science,313,,8
61,AL843,Physical Activity and Health Science,306,,8
62,AL850,Business,309,,8
63,AL851,Business and Law,295,,8
64,AL852,Accounting,309,,8
65,AL854,Sport Management (with international placement),302,299,8
66,AL855,Hospitality Management (with international placement),308,,8
67,AL857,Digital Marketing,304,,8
68,AL860,Social Care Practice,300,,8
69,AL861,Animation and Illustration (portfolio),578,,8
70,AL863,Graphic and Digital Design (portfolio),781,,8
71,AL864,Early Years Care and Education,307,,8
72,AL870,Applied Psychology,418,,8
73,AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",510,,8
74,AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",441,434,8
75,AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",440,440,8
76,AS051,"Nutrition, Food and Business Management",328,317,8
77,AS054,Home Economics,408,398,8
78,AS110,General Nursing,419,,8
79,AS130,Intellectual Disability Nursing,336,328,8
83,CI110,Counselling and Psychotherapy,310,,8
84,CI111,Counselling and Addiction Studies,301,,8
85,CI112,Counselling and Youth Studies,311,,8
86,CK101,Arts - 3 years,300,,8
87,CK102,Social Science,412,,8
88,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),302,,8
89,CK105,Film and Screen Media - 3 years or 4 years (International Pathway),368,337,8
90,CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),328,,8
91,CK108,Arts International - 4 years,401,,8
92,CK109,English - 3 years or 4 years (International Pathway),318,,8
93,CK110,World Languages,452,433,8
94,CK111,Early Years and Childhood Studies,419,,8
95,CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),330,,8
96,CK113,Criminology - 3 years or 4 years (International Pathway),423,,8
97,CK114,Social Science (Youth and Community Work) - 3 years,,,8
98,CK115,Social Work - Mature Applicants only,,,8
99,CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),336,,8
100,CK120,Applied Psychology,533,532,8
101,CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),466,,8
102,CK122,Government and Political Science,337,328,8
103,CK123,Anthropology,308,,8
104,CK124,Education - Gaeilge,463,462,8
105,CK125,Sports Studies and Physical Education,510,509,8
106,CK201,Commerce,477,,8
107,CK202,Accounting,509,,8
108,CK203,Business Information Systems,430,,8
109,CK204,Finance,556,,8
110,CK205,Commerce (International) with French,445,,8
111,CK206,Commerce (International) with German,420,418,8
112,CK207,Commerce (International) with Italian,388,,8
113,CK208,Commerce (International) with Hispanic Studies,402,,8
114,CK209,Commerce (International) with Irish,484,,8
115,CK211,Commerce (International) with Chinese Studies,397,,8
116,CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,444,,8
117,CK213,Food Marketing and Entrepreneurship,462,,8
118,CK214,International Development,346,,8
119,CK301,Law (Pathways) -  3 or 4 years,507,499,8
120,CK302,Law and French,542,,8
121,CK304,Law and Irish,540,,8
122,CK307,Law and Business,556,,8
123,CK401,Computer Science,468,,8
124,CK402,Biological and Chemical Sciences,510,509,8
125,CK404,"Biological, Earth and Environmental Sciences",467,,8
126,CK405,Genetics,487,,8
127,CK406,Chemical Sciences,485,472,8
128,CK407,Mathematical Sciences,566,565,8
129,CK408,Physics and Astrophysics,554,542,8
130,CK409,Industrial Physics - Offered jointly by UCC and CIT,432,,8
131,CK411,Data Science and Analytics,510,,8
132,CK412,Agricultural Science,496,496,8
133,CK504,Nutritional Sciences,518,,8
134,CK505,Food Science,441,440,8
135,CK600,Engineering,487,,8
136,CK606,Architecture - Offered jointly by UCC and CIT,484,476,8
137,CK701,Medicine (Undergraduate Entry - HPAT required),731,,8
138,CK702,Dentistry,613,613,8
139,CK703,Pharmacy,590,589,8
140,CK704,Occupational Therapy,566,555,8
141,CK705,Speech and Language Therapy,520,,8
142,CK706,Public Health Sciences,454,,8
143,CK707,Medical and Health Sciences,542,541,8
144,CK710,General Nursing,454,,8
145,CK712,Children`s and General Nursing (Integrated),533,,8
146,CK720,Mental Health Nursing,423,,8
147,CK730,Intellectual Disability Nursing,419,411,8
148,CK740,Midwifery,484,,8
149,CK791,Medicine  - Graduate Entry (GAMSAT required),57,,8
150,CM001,Education - Primary Teaching,484,,8
151,CM002,Education - Primary Teaching - Gaeltacht Applicants,,,8
152,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,528,,8
153,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,494,,8
154,CM010,Education Studies,319,,8
155,CM020,Early Childhood Education,327,,8
180,CR105,Chemical and Biopharmaceutical Engineering,443,,8
181,CR106,Software Development,411,,8
182,CR108,Mechanical Engineering,434,,8
183,CR109,Structural Engineering,394,,8
184,CR110,Automotive Business Management and Technology,311,,8
185,CR112,Creative Digital Media,361,,8
186,CR116,Computer Systems,332,,8
187,CR121,Music at CIT Cork School of Music,868,,8
188,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,1088,,8
189,CR126,Popular Music: Drums at CIT Cork School of Music,801,,8
190,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,838,768,8
191,CR128,Popular Music: Keyboards at CIT Cork School of Music,840,,8
192,CR129,Popular Music: Voice at CIT Cork School of Music,841,,8
193,CR130,Musical Theatre at CIT Cork School of Music,548,518,8
194,CR150,Business Information Systems,335,,8
195,CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",#+matric,,8
196,CR220,Fine Art at CIT Crawford College of Art and Design,#+matric,,8
197,CR225,Photography with New Media,#+matric,,8
199,CR305,Physical Sciences (Common Entry),282,,8
200,CR310,IT Management,297,,8
201,CR320,Biomedical Science - Offered jointly by CIT and UCC,565,,8
202,CR325,Pharmaceutical Biotechnology,398,,8
203,CR333,Nutrition and Health Science,402,,8
204,CR335,Biological Sciences (Common Entry),420,,8
205,CR340,Analytical Chemistry with Quality Assurance,251,,8
206,CR360,Instrument Engineering,261,,8
207,CR365,Environmental Science and Sustainable Technology,253,,8
208,CR370,Agri-Biosciences,397,,8
209,CR400,Accounting,316,,8
210,CR420,Marketing,285,,8
211,CR425,International Business with Language,298,,8
212,CR430,Sport and Exercise Management,322,,8
213,CR440,Montessori Education,288,,8
214,CR500,Engineering (Common Entry),411,,8
215,CR510,Sustainable Energy Engineering,320,,8
216,CR520,Biomedical Engineering,444,,8
217,CR560,Architectural Technology,308,,8
218,CR565,Interior Architecture,359,,8
219,CR570,Quantity Surveying,336,,8
220,CR572,Construction Management,269,,8
221,CR580,Electrical Engineering,318,,8
222,CR590,Electronic Engineering,303,,8
