code,Title,EOS_20,EOS_19
AC120,International Business,209.0,234.0
AC137,Liberal Arts,252.0,252.0
AD215,Visual Culture,320.0,300.0
AL801,Software Design with Virtual Reality and Gaming,303.0,304.0
AL802,Software Design with Artificial Intelligence for Cloud Computing,332.0,301.0
AL803,Software Design with Mobile Apps and Connected Devices,337.0,309.0
AL805,Computer Engineering with Network Infrastructure,333.0,329.0
AL810,Quantity Surveying,326.0,307.0
AL820,Mechanical and Polymer Engineering,308.0,300.0
AL830,General Nursing,442.0,410.0
AL832,Psychiatric Nursing,384.0,387.0
AL836,Nutrition and Health Science,334.0,352.0
AL837,Sports Science with Exercise Physiology,351.0,351.0
AL838,Biotechnology,307.0,302.0
AL839,Microbiology,325.0,322.0
AL840,Pharmaceutical Sciences,347.0,328.0
AL841,Athletic and Rehabilitation Therapy,430.0,423.0
AL842,Bioveterinary Science,313.0,310.0
AL843,Physical Activity and Health Science,306.0,310.0
AL850,Business,309.0,307.0
AL851,Business and Law,295.0,301.0
AL852,Accounting,309.0,290.0
AL855,Hospitality Management (with international placement),308.0,312.0
AL857,Digital Marketing,304.0,300.0
AL860,Social Care Practice,300.0,309.0
AL864,Early Years Care and Education,307.0,307.0
AL870,Applied Psychology,418.0,409.0
AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",440.0,421.0
AS051,"Nutrition, Food and Business Management",317.0,337.0
AS054,Home Economics,398.0,387.0
AS130,Intellectual Disability Nursing,317.0,317.0
CK101,Arts - 3 years,300.0,300.0
CK102,Social Science,412.0,391.0
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),319.0,397.0
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),328.0,326.0
CK108,Arts International - 4 years,401.0,429.0
CK109,English - 3 years or 4 years (International Pathway),318.0,347.0
CK110,World Languages,410.0,456.0
CK111,Early Years and Childhood Studies,419.0,398.0
CK113,Criminology - 3 years or 4 years (International Pathway),423.0,408.0
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),336.0,307.0
CK120,Applied Psychology,531.0,506.0
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),466.0,393.0
CK122,Government and Political Science,326.0,355.0
CK202,Accounting,509.0,467.0
CK203,Business Information Systems,430.0,409.0
CK204,Finance,556.0,531.0
CK205,Commerce (International) with French,445.0,409.0
CK206,Commerce (International) with German,418.0,408.0
CK207,Commerce (International) with Italian,388.0,408.0
CK208,Commerce (International) with Hispanic Studies,402.0,431.0
CK209,Commerce (International) with Irish,484.0,509.0
CK211,Commerce (International) with Chinese Studies,397.0,398.0
CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,444.0,400.0
CK301,Law (Pathways) -  3 or 4 years,498.0,476.0
CK302,Law and French,542.0,453.0
CK304,Law and Irish,540.0,462.0
CK307,Law and Business,556.0,522.0
CK401,Computer Science,468.0,402.0
CK402,Biological and Chemical Sciences,509.0,498.0
CK404,"Biological, Earth and Environmental Sciences",465.0,412.0
CK405,Genetics,487.0,476.0
CK406,Chemical Sciences,462.0,457.0
CK407,Mathematical Sciences,565.0,531.0
CK408,Physics and Astrophysics,531.0,511.0
CK409,Industrial Physics - Offered jointly by UCC and CIT,432.0,413.0
CK411,Data Science and Analytics,509.0,509.0
CK412,Agricultural Science,489.0,457.0
CK504,Nutritional Sciences,517.0,492.0
CK505,Food Science,420.0,444.0
CK600,Engineering,487.0,465.0
CK606,Architecture - Offered jointly by UCC and CIT,469.0,465.0
CK702,Dentistry,613.0,590.0
CK703,Pharmacy,589.0,577.0
CK705,Speech and Language Therapy,520.0,509.0
CK706,Public Health Sciences,454.0,419.0
CK710,General Nursing,454.0,440.0
CK712,Children`s and General Nursing (Integrated),533.0,499.0
CK720,Mental Health Nursing,419.0,398.0
CK730,Intellectual Disability Nursing,400.0,359.0
CK740,Midwifery,473.0,444.0
CM010,Education Studies,317.0,317.0
CM020,Early Childhood Education,327.0,336.0
CR105,Chemical and Biopharmaceutical Engineering,443.0,432.0
CR106,Software Development,411.0,351.0
CR108,Mechanical Engineering,434.0,425.0
CR109,Structural Engineering,394.0,341.0
CR110,Automotive Business Management and Technology,311.0,318.0
CR112,Creative Digital Media,361.0,335.0
CR116,Computer Systems,332.0,318.0
CR150,Business Information Systems,335.0,326.0
CR305,Physical Sciences (Common Entry),282.0,279.0
CR310,IT Management,297.0,282.0
CR320,Biomedical Science - Offered jointly by CIT and UCC,565.0,546.0
CR325,Pharmaceutical Biotechnology,398.0,388.0
CR333,Nutrition and Health Science,402.0,360.0
CR335,Biological Sciences (Common Entry),420.0,381.0
CR340,Analytical Chemistry with Quality Assurance,251.0,288.0
CR360,Instrument Engineering,261.0,291.0
CR365,Environmental Science and Sustainable Technology,253.0,334.0
CR370,Agri-Biosciences,397.0,408.0
CR400,Accounting,316.0,316.0
CR420,Marketing,285.0,288.0
CR425,International Business with Language,298.0,300.0
CR500,Engineering (Common Entry),411.0,381.0
CR510,Sustainable Energy Engineering,320.0,319.0
CR520,Biomedical Engineering,444.0,434.0
CR560,Architectural Technology,308.0,288.0
CR565,Interior Architecture,359.0,336.0
CR570,Quantity Surveying,336.0,279.0
CR572,Construction Management,269.0,253.0
CR580,Electrical Engineering,318.0,344.0
CR590,Electronic Engineering,303.0,342.0
CR660,Tourism Management,252.0,249.0
CT125,Information Technology,220.0,235.0
CW018,Business (options),248.0,327.0
CW028,Early Childhood Education and Care,252.0,252.0
CW058,Tourism and Event Management,298.0,252.0
CW068,Applied Social Studies in Professional Social Care,245.0,251.0
CW078,Sustainable Farm Management and Agribusiness,269.0,266.0
CW088,Visual Communications and Design,274.0,309.0
CW108,Science (options),261.0,261.0
CW128,Brewing and Distilling,263.0,271.0
CW188,Sport Rehabilitation and Athletic Therapy,448.0,454.0
CW208,Computer Games Development,279.0,281.0
CW238,Software Development,297.0,300.0
CW248,Information Technology Management,285.0,307.0
CW258,Cybercrime and IT Security,293.0,300.0
CW268,Computing in Interactive Digital Art and Design,287.0,274.0
CW438,Construction (options),272.0,271.0
CW468,Architectural Technology,262.0,252.0
CW478,Civil Engineering,433.0,348.0
CW548,Mechanical Engineering,321.0,310.0
CW558,Electronic Systems,280.0,279.0
CW568,Aerospace Engineering,380.0,366.0
CW578,TV and Media Production,325.0,327.0
CW708,Law - LLB,302.0,298.0
CW728,Product Design Innovation,252.0,286.0
CW748,Early Childhood Education and Care,270.0,265.0
CW758,Professional Social Care Practice,336.0,290.0
CW808,Media and Public Relations,251.0,248.0
CW848,Digital Marketing with Analytics,269.0,279.0
CW908,Business (options),280.0,260.0
CW938,Business with Law,283.0,270.0
CW948,Accounting,300.0,301.0
DB500,Computing,218.0,242.0
DB501,Computing (Cloud Computing),227.0,326.0
DB502,Computing (Data Analytics and Big Data),334.0,269.0
DB503,Computing (Software Development),225.0,242.0
DB504,Computing (Web and Mobile Technology),281.0,227.0
DB510,Audio Production and Music Project Management,223.0,233.0
DB512,Business Studies,203.0,229.0
DB514,Business Studies (Law),251.0,269.0
DB515,Business Studies (Human Resource Management),244.0,225.0
DB517,Marketing (Event Management),238.0,226.0
DB521,Accounting and Finance,195.0,225.0
DB524,Business (Information Systems),309.0,402.0
DB526,Business (Cloud Computing),347.0,253.0
DB527,Applied Social Care,234.0,235.0
DB531,Marketing,293.0,220.0
DB562,Psychology,229.0,208.0
DB566,Social Science,220.0,216.0
DB567,Film and Creative Media,202.0,192.0
DB568,Law,217.0,245.0
DB569,Business (Psychology),252.0,279.0
DC001,Education - Early Childhood Education,440.0,398.0
DC009,Arts (Joint Honours) - Humanities,376.0,347.0
DC010,Post Primary Teacher Education - Religious Education and English,429.0,386.0
